team,player,position,market_value_m_eur,prev_season_goals,prev_season_assists,importance_score,notes
Barcelona,Lamine Yamal,RW,200,16,8,100,Best player signal and elite U23 profile
Barcelona,Pedri,CM,120,6,8,94,Elite midfield controller
Barcelona,Raphinha,LW,90,10,9,90,High-output forward
Real Madrid,Kylian Mbappe,FW,180,25,4,100,Top goalscorer signal
Real Madrid,Jude Bellingham,CM,180,10,8,96,Elite two-way star
Real Madrid,Vinicius Junior,LW,170,16,7,94,Elite attacking star
Atletico Madrid,Julian Alvarez,FW,100,12,5,94,Primary attacking star
Atletico Madrid,Pablo Barrios,CM,55,4,5,82,Young midfield core
Atletico Madrid,Jan Oblak,GK,35,0,0,88,Elite goalkeeper baseline
Villarreal,Georges Mikautadze,FW,35,12,4,86,Main attacking reference
Villarreal,Alberto Moleiro,AM,30,8,7,84,Creative star
Villarreal,Luiz Junior,GK,20,0,0,78,Goalkeeper signal
Real Betis,Antony,RW,35,8,5,82,High-ceiling attacker
Real Betis,Isco,AM,20,6,8,86,Creative leader
Real Betis,Cucho Hernandez,FW,18,6,3,80,Forward depth
Celta Vigo,Borja Iglesias,FW,10,14,2,82,Goal source in 2025-26
Celta Vigo,Iago Aspas,FW,4,6,6,78,Veteran creator
Celta Vigo,Williot Swedberg,AM,12,7,4,76,Young attacking support
Getafe,David Soria,GK,8,0,0,82,Strong goalkeeper season
Getafe,Luis Milla,CM,10,4,4,78,Midfield hub
Getafe,Borja Mayoral,FW,8,7,2,74,Finishing profile
Rayo Vallecano,Jorge de Frutos,RW,10,6,6,78,Direct attacking threat
Rayo Vallecano,Andrei Ratiu,RB,15,1,4,76,High-value defensive profile
Rayo Vallecano,Augusto Batalla,GK,8,0,0,74,Goalkeeper signal
Valencia,Javi Guerra,CM,25,4,4,82,Young midfield star
Valencia,Jose Gaya,LB,20,1,5,80,Captain and chance creation
Valencia,Diego Lopez,RW,18,6,4,78,Young attacking output
Real Sociedad,Mikel Oyarzabal,FW,40,15,4,88,Primary goals signal
Real Sociedad,Take Kubo,RW,40,6,5,84,Chance creation and ball carrying
Real Sociedad,Brais Mendez,CM,25,5,5,80,Midfield production
Espanyol,Javi Puado,FW,12,8,3,78,Main attacking outlet
Espanyol,Carlos Romero,LB,10,2,3,74,High-minute defender
Espanyol,Leandro Cabrera,CB,3,1,0,70,Veteran defensive leader
Athletic Bilbao,Oihan Sancet,AM,45,8,4,84,Central attacking midfielder
Athletic Bilbao,Nico Williams,LW,40,6,6,86,Elite transition threat
Athletic Bilbao,Unai Simon,GK,30,0,0,84,Goalkeeper quality
Sevilla,Lucien Agoume,CM,12,1,2,76,Midfield ball-winner
Sevilla,Isaac Romero,FW,12,7,2,76,Forward reference
Sevilla,Nemanja Gudelj,CB,4,1,0,72,Veteran defensive leader
Alaves,Carlos Vicente,RW,12,5,4,76,Primary wing threat
Alaves,Antonio Sivera,GK,8,0,0,76,Goalkeeper signal
Alaves,Kike Garcia,FW,3,7,1,72,Veteran goals source
Elche,Nicolas Castro,CM,5,3,4,72,Midfield creator
Elche,Mourad,FW,4,6,1,70,Forward reference
Elche,Pedro Bigas,CB,2,1,0,70,Veteran defender
Levante,Carlos Espi,FW,8,8,2,74,U23 attacking signal
Levante,Ivan Romero,FW,5,6,2,72,Forward support
Levante,Pablo Martinez,CM,4,3,4,72,Midfield reference
Osasuna,Aimar Oroz,AM,15,4,5,80,Creative midfielder
Osasuna,Ante Budimir,FW,8,17,2,84,High goals signal
Osasuna,Sergio Herrera,GK,8,0,0,76,Goalkeeper signal
Racing Santander,Andres Martin,FW,7,23,5,84,Promotion-season goal source
Racing Santander,Asier Villalibre,FW,5,16,3,80,Second major scorer
Racing Santander,Gustavo Puerta,CM,5,3,4,74,High-value midfield addition
Deportivo La Coruna,Yeremay Hernandez,LW,25,8,8,86,Most valuable player in Segunda context
Deportivo La Coruna,Zakaria Eddahchouri,FW,5,10,3,78,Promotion attacking output
Deportivo La Coruna,David Mella,RW,4,4,5,74,Young creator
Almeria,Sergio Arribas,AM,15,25,6,88,Top Segunda scorer signal
Almeria,Luis Suarez,FW,6,10,3,78,Forward reference
Almeria,Adri Embarba,RW,3,16,7,78,Veteran attacking production
